epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,4370.08,0.84507,1.62527,0.83914,0.0094,0.55593,0.8669,0.727,0.79622,0.65113,0.759,0.62642,0.65893,0.48433,0.91005,1.56769,0.7495,0.01317,0,5.37096e-05,5.37096e-05,5.37096e-05
90,4418.01,0.81317,1.58747,0.76975,0.00856,0.54183,0.87582,0.73163,0.79963,0.65116,0.77237,0.63216,0.66285,0.4858,0.89838,1.57313,0.73286,0.01299,0,4.95813e-05,4.95813e-05,4.95813e-05
91,4469.66,0.76167,1.18233,0.62336,0.01162,0.271,0.79504,0.74772,0.79245,0.63141,0.6942,0.65513,0.65854,0.48437,0.94492,1.55094,0.72524,0.01485,0,4.5453e-05,4.5453e-05,4.5453e-05
92,4504.78,0.73563,1.0664,0.53059,0.01073,0.22876,0.74374,0.76094,0.79164,0.63623,0.65139,0.65368,0.65884,0.47654,0.93754,1.54883,0.75341,0.01455,0,4.13247e-05,4.13247e-05,4.13247e-05
93,4543.61,0.71508,1.12075,0.52796,0.01062,0.23587,0.85648,0.73054,0.79375,0.64203,0.74433,0.63115,0.65374,0.47818,0.94998,1.55661,0.76805,0.01477,0,3.71964e-05,3.71964e-05,3.71964e-05
94,4579.28,0.7055,1.06456,0.50967,0.01021,0.2132,0.81175,0.72791,0.79191,0.64092,0.70309,0.63073,0.65215,0.47537,0.94779,1.55505,0.75813,0.01475,0,3.30681e-05,3.30681e-05,3.30681e-05
95,4616.7,0.69794,1.05595,0.47977,0.01033,0.20617,0.82526,0.70902,0.79047,0.64197,0.71251,0.61422,0.65329,0.47662,0.93717,1.54396,0.74646,0.01473,0,2.89398e-05,2.89398e-05,2.89398e-05
96,4652.48,0.69997,1.01132,0.47256,0.00967,0.19915,0.81474,0.71057,0.78688,0.64178,0.6979,0.6119,0.64452,0.47517,0.92535,1.52653,0.73582,0.01424,0,2.48115e-05,2.48115e-05,2.48115e-05
97,4688.8,0.67204,0.98599,0.46103,0.00957,0.1968,0.81534,0.71212,0.78717,0.64053,0.6984,0.6079,0.63976,0.46984,0.93326,1.5298,0.75351,0.01432,0,2.06832e-05,2.06832e-05,2.06832e-05
98,4723.79,0.67778,1.04784,0.4672,0.0098,0.21155,0.77634,0.72062,0.78669,0.64226,0.66775,0.61195,0.64015,0.46936,0.93053,1.52844,0.74689,0.01431,0,1.65549e-05,1.65549e-05,1.65549e-05
99,4762.1,0.67883,1.01193,0.46302,0.00938,0.19653,0.7966,0.70792,0.7867,0.64458,0.67804,0.60416,0.6403,0.47008,0.92406,1.52228,0.74109,0.01411,0,1.24266e-05,1.24266e-05,1.24266e-05
100,4799.14,0.69335,1.03453,0.45696,0.00979,0.2032,0.79304,0.71271,0.78893,0.64658,0.68071,0.60875,0.64223,0.47266,0.92547,1.5348,0.75144,0.01414,0,8.2983e-06,8.2983e-06,8.2983e-06
